Round; Time; Distance; Errors
1; 28,9229; 17,18163; 16
2; 7,696501; 3,38977; 0
3; 11,02853; 2,522871; 2
4; 6,986219; 2,869477; 0
5; 5,730497; 2,610885; 0
6; 13,06105; 4,405011; 1
1; 37,25982; 19,77817; 18
2; 9,973017; 5,126906; 0
3; 7,185894; 2,398912; 0
4; 7,452393; 3,264413; 0
5; 6,997208; 2,813887; 0
6; 12,33757; 6,750605; 0
7; 10,53015; 3,719921; 1
8; 8,529548; 2,77411; 0
9; 7,608506; 2,786587; 0
10; 7,840672; 1,931382; 0
1; 79,03103; 33,39117; 19
2; 23,56827; 15,7911; 11
1; 58,54275; 28,37611; 20
2; 24,35239; 9,231232; 4
3; 13,83211; 5,99031; 0
1; 55,22929; 29,419; 20
2; 17,79216; 8,339993; 4
3; 20,18041; 11,09655; 2
4; 10,17571; 7,143057; 0
1; 47,59694; 23,21464; 16
1; 22,57147; 10,57787; 14
2; 12,67233; 5,344157; 0
3; 10,16163; 3,914289; 0
4; 9,773421; 3,903942; 0
5; 7,685641; 2,758713; 0
6; 10,12922; 3,433082; 0
7; 12,40565; 5,120697; 1
8; 12,18365; 5,700311; 1
9; 8,774044; 4,828032; 0
10; 12,95025; 7,817936; 1
1; 84,04536; 47,68813; 20
2; 11,70573; 6,547316; 0
3; 14,81525; 9,000721; 1
4; 16,1042; 8,093206; 1
5; 27,49953; 15,096; 0
6; 15,03771; 7,201716; 1
7; 13,50596; 7,085814; 0
8; 11,36182; 6,836965; 0
9; 15,29316; 8,392848; 0
10; 13,7049; 6,176339; 2
1; 49,40272; 23,50341; 17
1; 57,11591; 31,17125; 20
1; 31,96308; 22,62831; 18
1; 30,86456; 20,75117; 17
2; 28,01075; 13,72541; 5
3; 20,41296; 8,745767; 0
4; 15,69342; 6,249968; 0
1; 22,30822; 16,38094; 7
2; 31,09781; 13,19197; 1
1; 56,87793; 24,55958; 20
2; 28,85639; 11,63974; 1
1; 29,10623; 21,7855; 18
1; 41,95901; 26,32625; 19
2; 13,06177; 6,661328; 0
3; 10,26187; 6,387935; 0
4; 10,37363; 5,728659; 0
5; 12,85091; 6,440249; 0
6; 10,93828; 6,086008; 0
1; 30,89979; 22,51489; 18
2; 10,29392; 5,235033; 0
3; 12,61812; 6,573593; 1
4; 9,644636; 4,40325; 0
5; 10,9024; 5,069729; 1
6; 16,15996; 5,654357; 0
1; 33,67871; 21,69114; 19
2; 22,66803; 9,644344; 5
1; 70,92759; 31,42242; 11
2; 25,3556; 16,92955; 3
3; 60,19636; 35,52211; 12
4; 31,87521; 21,26497; 1
5; 29,3542; 16,23323; 1
6; 13,19506; 10,84102; 0
7; 11,81645; 10,67291; 1
8; 10,77291; 7,944423; 0
9; 15,83814; 10,79956; 0
10; 15,35946; 11,30426; 0
1; 38,88571; 21,27516; 10
2; 31,15265; 13,5694; 3
